L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2400001,132304,4818,1,10.00,13363.00,0.03,0.02,N,O,1995-06-30,1995-06-25,1995-07-17,NONE,SHIP,egular dolphins 
2400001,24513,2020,2,14.00,20125.14,0.04,0.03,R,F,1995-05-01,1995-05-05,1995-05-10,COLLECT COD,SHIP,es wake quickly bold packages. sly idea
2400001,175232,7750,3,18.00,23530.14,0.01,0.07,N,O,1995-07-20,1995-05-06,1995-08-02,NONE,REG AIR,ic deposits. carefully blithe packages 
2400001,119658,4681,4,2.00,3355.30,0.09,0.08,A,F,1995-05-15,1995-06-17,1995-05-28,DELIVER IN PERSON,REG AIR,hinder slyly quickly silent deposi
2400001,89532,4549,5,13.00,19779.89,0.07,0.03,A,F,1995-04-08,1995-06-27,1995-04-12,COLLECT COD,REG AIR,ges believe slyly furiously bold courts
2400002,188783,3820,1,14.00,26204.92,0.09,0.01,R,F,1994-09-13,1994-09-25,1994-10-06,TAKE BACK RETURN,MAIL, around the slyly ironi
2400002,67505,5024,2,1.00,1472.50,0.00,0.04,R,F,1994-11-14,1994-10-30,1994-12-07,COLLECT COD,REG AIR,ding depen
2400002,142916,2917,3,7.00,13712.37,0.03,0.04,R,F,1994-08-29,1994-09-29,1994-09-17,NONE,MAIL,sits are according to the furiously regula
2400002,182905,5424,4,8.00,15903.20,0.09,0.07,A,F,1994-10-28,1994-11-09,1994-10-30,COLLECT COD,RAIL,usual requests. slyly pending dolphins c
2400002,80484,485,5,43.00,62972.64,0.00,0.02,R,F,1994-08-26,1994-11-08,1994-09-25,DELIVER IN PERSON,AIR,ven pinto beans sleep according to the pe
2400003,85613,8122,1,39.00,62345.79,0.09,0.01,N,O,1996-09-15,1996-09-21,1996-09-27,TAKE BACK RETURN,SHIP,ently. slyly ironic pl
2400003,91115,1116,2,1.00,1106.11,0.10,0.04,N,O,1996-07-31,1996-09-11,1996-08-20,COLLECT COD,AIR,y regular the
2400003,165300,333,3,24.00,32767.20,0.09,0.01,N,O,1996-07-12,1996-08-21,1996-07-27,NONE,SHIP,nstructions s
2400003,186804,4359,4,40.00,75632.00,0.03,0.04,N,O,1996-10-11,1996-10-05,1996-10-22,TAKE BACK RETURN,MAIL,the quickly ironic asymptote
2400003,2128,9629,5,49.00,50475.88,0.03,0.02,N,O,1996-10-13,1996-09-18,1996-10-31,COLLECT COD,RAIL,ggle carefully fu
2400003,155438,469,6,40.00,59737.20,0.09,0.04,N,O,1996-08-31,1996-09-03,1996-09-28,TAKE BACK RETURN,RAIL,unts solve 
2400004,194264,1822,1,23.00,31239.98,0.07,0.06,N,O,1997-01-24,1996-11-21,1997-02-22,DELIVER IN PERSON,RAIL,s deposits
2400004,188144,3181,2,34.00,41892.76,0.05,0.06,N,O,1996-10-28,1996-12-21,1996-11-15,TAKE BACK RETURN,TRUCK,ular requests wake i
2400004,128994,4019,3,39.00,78896.61,0.06,0.05,N,O,1997-01-24,1996-11-27,1997-02-22,COLLECT COD,AIR,dencies wake 
2400005,104818,7329,1,9.00,16405.29,0.01,0.06,A,F,1994-06-29,1994-07-11,1994-07-25,TAKE BACK RETURN,FOB,phins sublate fluf
2400005,68791,8792,2,43.00,75670.97,0.03,0.08,R,F,1994-06-17,1994-07-01,1994-06-20,NONE,MAIL,"s wake blithely even, final requests"
